DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-02,09:41:00,134.84,134.85,134.83,134.83,263
2020-03-02,09:42:00,134.84,134.86,134.84,134.84,248
2020-03-02,09:43:00,134.83,134.85,134.82,134.83,407
2020-03-02,09:44:00,134.82,134.84,134.82,134.84,270
2020-03-02,09:45:00,134.84,134.89,134.84,134.87,731
2020-03-02,09:46:00,134.88,134.9,134.86,134.86,490
2020-03-02,09:47:00,134.86,134.86,134.83,134.85,433
2020-03-02,09:48:00,134.84,134.85,134.82,134.85,351
2020-03-02,09:49:00,134.85,134.85,134.82,134.84,398
2020-03-02,09:50:00,134.84,134.84,134.82,134.82,83
2020-03-02,09:51:00,134.82,134.87,134.82,134.87,229
2020-03-02,09:52:00,134.87,134.88,134.84,134.84,247
2020-03-02,09:53:00,134.85,134.91,134.85,134.9,769
2020-03-02,09:54:00,134.9,134.95,134.9,134.93,639
2020-03-02,09:55:00,134.93,134.95,134.93,134.95,326
2020-03-02,09:56:00,134.95,134.99,134.94,134.96,810
2020-03-02,09:57:00,134.97,134.99,134.94,134.95,896
2020-03-02,09:58:00,134.95,135.06,134.95,135.05,699
2020-03-02,09:59:00,135.05,135.05,135,135.02,390
2020-03-02,10:00:00,135.02,135.07,135.02,135.05,363
2020-03-02,10:01:00,135.06,135.06,135,135.04,421
2020-03-02,10:02:00,135.05,135.08,135.02,135.05,394
2020-03-02,10:03:00,135.05,135.05,135.03,135.04,121
2020-03-02,10:04:00,135.04,135.05,134.98,134.99,904
2020-03-02,10:05:00,135,135,134.96,134.99,562
2020-03-02,10:06:00,134.98,135.02,134.97,135.02,262
2020-03-02,10:07:00,135.01,135.01,134.99,134.99,235
2020-03-02,10:08:00,135,135.02,134.98,135.02,131
2020-03-02,10:09:00,135.02,135.06,135.02,135.02,388
2020-03-02,10:10:00,135.02,135.02,134.99,135,226
2020-03-02,10:11:00,134.99,135.01,134.98,135,267
2020-03-02,10:12:00,135,135.04,135,135.04,211
2020-03-02,10:13:00,135.04,135.04,135.02,135.04,213
2020-03-02,10:14:00,135.03,135.2,135.03,135.19,1097
2020-03-02,10:15:00,135.19,135.21,135.15,135.21,723
2020-03-02,10:16:00,135.2,135.22,135.16,135.16,413
2020-03-02,10:17:00,135.17,135.17,135.11,135.11,678
2020-03-02,10:18:00,135.11,135.11,135.07,135.1,446
2020-03-02,10:19:00,135.11,135.11,135.07,135.07,679
2020-03-02,10:20:00,135.06,135.07,135.04,135.05,421
2020-03-02,10:21:00,135.05,135.09,135.02,135.04,516
2020-03-02,10:22:00,135.04,135.04,134.99,135,420
2020-03-02,10:23:00,135.01,135.02,134.99,135.02,429
2020-03-02,10:24:00,135.01,135.04,135.01,135.02,216
2020-03-02,10:25:00,135.01,135.02,135,135.02,336
2020-03-02,10:26:00,135.02,135.03,134.99,134.99,548
